player_id,first_name,last_name,hand,dob,country,height
200033,Serena,Williams,R,1981-09-26,USA,175
201427,Alize,Cornet,R,1990-01-22,FRA,173
201444,Su Wei,Hsieh,R,1986-01-04,TPE,169
201466,Kaia,Kanepi,R,1985-06-10,EST,181
201493,Angelique,Kerber,L,1988-01-18,GER,173
201499,Anastasia,Pavlyuchenkova,R,1991-07-03,RUS,177
201520,Petra,Kvitova,L,1990-03-08,CZE,183
201548,Ajla,Tomljanovic,R,1993-05-07,AUS,180
201585,Sloane,Stephens,R,1993-03-20,USA,170
201594,Simona,Halep,R,1991-09-27,ROU,168
201614,Caroline,Garcia,R,1993-10-16,FRA,177
201619,Madison,Keys,R,1995-02-17,USA,178
201662,Karolina,Pliskova,R,1992-03-21,CZE,184
201696,Laura,Siegemund,R,1988-03-04,GER,168
202458,Ashleigh,Barty,R,1996-04-24,AUS,166
202460,Ons,Jabeur,R,1994-08-28,TUN,167
202468,Jessica,Pegula,R,1994-02-24,USA,170
202469,Garbine,Muguruza,R,1993-10-08,ESP,182
202494,Elina,Svitolina,R,1994-09-12,UKR,174
202505,Belinda,Bencic,R,1997-03-10,SUI,175
203354,Martina,Trevisan,L,1993-11-03,ITA,160
203389,Danielle,Collins,R,1993-12-13,USA,178
203530,Viktorija,Golubic,R,1992-10-16,SUI,169
204426,Anett,Kontaveit,R,1995-12-24,EST,174
204427,Sara,Sorribes Tormo,R,1996-10-08,ESP,176
206108,Jennifer,Brady,R,1995-04-12,USA,178
206242,Beatriz,Haddad Maia,L,1996-05-30,BRA,185
206252,Barbora,Krejcikova,R,1995-12-18,CZE,178
206289,Maria,Sakkari,R,1995-07-25,GRE,172
206368,Veronika,Kudermetova,R,1997-04-24,RUS,175
206408,Nadia,Podoroska,R,1997-02-10,ARG,170
206420,Ekaterina,Alexandrova,R,1994-11-15,RUS,175
210722,Elise,Mertens,R,1995-11-17,BEL,179
211533,Jelena,Ostapenko,R,1997-06-08,LAT,177
211651,Paula,Badosa,R,1997-11-15,ESP,180
211768,Naomi,Osaka,R,1997-10-16,JPN,180
211843,Anhelina,Kalinina,R,1997-02-07,UKR,179
213525,Jil,Teichmann,L,1997-07-15,SUI,170
213550,Sofia,Kenin,R,1998-11-14,USA,170
213583,Tatjana,Maria,R,1987-08-08,GER,172
213631,Marie,Bouzkova,R,1998-07-21,CZE,180
214082,Daria,Kasatkina,R,1997-05-07,RUS,170
214096,Karolina,Muchova,R,1996-08-21,CZE,178
214461,Tamara,Zidansek,R,1997-12-26,SLO,168
214544,Aryna,Sabalenka,R,1998-05-05,BLR,182
214643,Liudmila,Samsonova,R,1998-11-11,RUS,180
214981,Elena,Rybakina,R,1999-06-17,KAZ,184
215898,Jule,Niemeier,R,1999-08-12,GER,178
216153,Amanda,Anisimova,R,2001-08-31,USA,180
216347,Iga,Swiatek,R,2001-05-31,POL,176
220367,Leylah,Fernandez,L,2002-09-06,CAN,168
221103,Cori,Gauff,R,2004-03-13,USA,175
